Year,American League winner,American League Team,American League Position,National League winner,National League Team,National League Position
1911,Ty Cobb,Detroit Tigers,OF,Frank Schulte,Chicago Cubs,OF
1912,Tris Speaker,Boston Red Sox,OF,Larry Doyle,New York Giants,2B
1913,Walter Johnson,Washington Senators,RHP,Jake Daubert,Brooklyn Superbas,1B
1914,Eddie Collins,Philadelphia Athletics,2B,Johnny Evers,Boston Braves,2B
1922,George Sisler,St Louis Browns,1B,,,
1923,Babe Ruth,New York Yankees,OF,,,
1924,Walter Johnson,Washington Senators,RHP,Dazzy Vance,Brooklyn Robins,RHP
1925,Roger Peckinpaugh,Washington Senators,SS,Rogers Hornsby,St Louis Cardinals,2B
1926,George Burns,Cleveland Indians,1B,Bob OFarrell,St Louis Cardinals,C
1927,Lou Gehrig,New York Yankees,1B,Paul Waner,Pittsburgh Pirates,OF
1928,Mickey Cochrane,Philadelphia Athletics,C,Jim Bottomley,St Louis Cardinals,1B
1929,,,,Rogers Hornsby,Chicago Cubs,2B
1931,Lefty Grove,Philadelphia Athletics,LHP,Frankie Frisch,St Louis Cardinals,2B
1932,Jimmie Foxx,Philadelphia Athletics,1B,Chuck Klein,Philadelphia Phillies,OF
1933,Jimmie Foxx,Philadelphia Athletics,1B,Carl Hubbell,New York Giants,LHP
1934,Mickey Cochrane,Detroit Tigers,C,Dizzy Dean,St Louis Cardinals,RHP
1935,Hank Greenberg,Detroit Tigers,1B,Gabby Hartnett,Chicago Cubs,C
1936,Lou Gehrig,New York Yankees,1B,Carl Hubbell,New York Giants,LHP
1937,Charlie Gehringer,Detroit Tigers,2B,Joe Medwick,St Louis Cardinals,OF
1938,Jimmie Foxx,Boston Red Sox,1B,Ernie Lombardi,Cincinnati Reds,C
1939,Joe DiMaggio,New York Yankees,OF,Bucky Walters,Cincinnati Reds,RHP
1940,Hank Greenberg,Detroit Tigers,OF,Frank McCormick,Cincinnati Reds,1B
1941,Joe DiMaggio,New York Yankees,OF,Dolph Camilli,Brooklyn Dodgers,1B
1942,Joe Gordon,New York Yankees,2B,Mort Cooper,St Louis Cardinals,RHP
1943,Spud Chandler,New York Yankees,RHP,Stan Musial,St Louis Cardinals,OF
1944,Hal Newhouser,Detroit Tigers,LHP,Marty Marion,St Louis Cardinals,SS
