Player,Batting average,Hits,Home runs,Runs batted in,Stolen bases,Doubles,Win-loss record,Earned run average,Strikeouts,Shutouts,On-base percentage,Saves,Runs,WHIP
Ty Cobb,0.367,"4,191",117,"1,938",892,,,,,,,,,
Frank Schulte,0.27,,92,793,,,,,,,,,,
Tris Speaker,0.345,"3,514",117,"1,529",,792,,,,,,,,
Larry Doyle,0.29,,74,794,,,,,,,,,,
Walter Johnson,,,,,,,417-279,2.17,"3,508",110,,,,
Jake Daubert,0.303,"2,326",56,722,,,,,,,,,,
Eddie Collins,0.333,"3,315",47,"1,300",745,,,,,,,,,
Johnny Evers,0.27,,12,538,324,,,,,,,,,
George Sisler,0.34,"2,812",102,"1,175",,,,,,,,,,
Babe Ruth,0.342,"2,873",714,"2,214",,,94-46,2.28,,,,,,
Walter Johnson,,,,,,,417-279,2.17,"3,508",110,,,,
Dazzy Vance,,,,,,,197-140,3.24,"2,045",,,,,
Roger Peckinpaugh,0.259,,48,740,205,,,,,,,,,
Rogers Hornsby,0.358,"2,930",301,"1,584",,,,,,,,,,
George Burns,0.307,"2,018",72,954,,,,,,,,,,
Bob O'Farrell,0.273,,51,549,,,,,,,,,,
Lou Gehrig,0.34,"2,721",493,"1,995",,,,,,,,,,
Paul Waner,0.333,"3,152",113,"1,309",,,,,,,,,,
Mickey Cochrane,0.32,,119,830,,,,,,,,,,
Jim Bottomley,0.31,"2,313",219,"1,422",,,,,,,,,,
Rogers Hornsby,0.358,"2,930",301,"1,584",,,,,,,,,,
Lefty Grove,,,,,,,300-141,3.06,"2,266",,,,,
Frankie Frisch,0.316,"2,880",105,"1,244",,,,,,,,,,
Jimmie Foxx,0.325,"2,646",534,"1,922",,,,,,,,,,
Chuck Klein,0.32,"2,076",300,"1,201",,,,,,,,,,
Jimmie Foxx,0.325,"2,646",534,"1,922",,,,,,,,,,
Carl Hubbell,,,,,,,253-154,2.98,"1,677",,,,,
Mickey Cochrane,0.32,,119,830,,,,,,,,,,
Dizzy Dean,,,,,,,150-83,3.02,"1,163",,,,,
Hank Greenberg,0.313,,331,"1,276",,,,,,,,,,
Gabby Hartnett,0.297,,236,"1,179",,,,,,,,,,
Lou Gehrig,0.34,"2,721",493,"1,995",,,,,,,,,,
Carl Hubbell,,,,,,,253-154,2.98,"1,677",,,,,
Charlie Gehringer,0.32,"2,839",184,"1,427",,,,,,,,,,
Joe Medwick,0.324,"2,471",205,"1,383",,,,,,,,,,
Jimmie Foxx,0.325,"2,646",534,"1,922",,,,,,,,,,
Ernie Lombardi,0.306,,190,990,,,,,,,,,,
Joe DiMaggio,0.325,"2,214",361,"1,537",,,,,,,,,,
Bucky Walters,0.243,,23,234,,,198-160,3.3,"1,107",,,,,
Hank Greenberg,0.313,,331,"1,276",,,,,,,,,,
Frank McCormick,0.299,,128,954,,,,,,,,,,
Joe DiMaggio,0.325,"2,214",361,"1,537",,,,,,,,,,
Dolph Camilli,0.277,,239,950,,,,,,,,,,
Joe Gordon,0.268,,253,975,,,,,,,,,,
Mort Cooper,,,,,,,128-75,2.97,913,,,,,
Spud Chandler,,,,,,,109-43,2.84,614,,,,,
Stan Musial,0.331,"3,630",475,"1,951",,,,,,,,,,
Hal Newhouser,,,,,,,207-150,3.06,"1,796",,,,,
Marty Marion,0.263,,36,624,,,,,,,,,,
Hal Newhouser,,,,,,,207-150,3.06,"1,796",,,,,
Phil Cavarretta,0.293,"1,977",95,920,,,,,,,,,,
Ted Williams,0.344,"2,654",521,"1,839",,,,,,,0.482,,,
Stan Musial,0.331,"3,630",475,"1,951",,,,,,,,,,
Joe DiMaggio,0.325,"2,214",361,"1,537",,,,,,,,,,
Bob Elliott,0.289,"2,061",170,"1,195",,,,,,,,,,
Lou Boudreau,0.295,,68,789,,,,,,,,,,
Stan Musial,0.331,"3,630",475,"1,951",,,,,,,,,,
Ted Williams,0.344,"2,654",521,"1,839",,,,,,,0.482,,,
Jackie Robinson,0.313,,141,761,,,,,,,,,,
Phil Rizzuto,0.273,,38,563,,,,,,,,,,
Jim Konstanty,,,,,,,66-48,3.46,268,,,74,,
Yogi Berra,0.285,"2,150",358,"1,430",,,,,,,,,,
Roy Campanella,0.283,"1,401",260,"1,017",34,,,,,,,,,
Bobby Shantz,,,,,,,119-99,3.38,"1,072",,,,,
Hank Sauer,0.266,,288,876,,,,,,,,,,
Al Rosen,0.285,,192,717,,,,,,,,,,
Roy Campanella,0.283,"1,401",260,"1,017",34,,,,,,,,,
Yogi Berra,0.285,"2,150",358,"1,430",,,,,,,,,,
Willie Mays,0.302,"3,283",660,"1,903",338,,,,,,,,,
Yogi Berra,0.285,"2,150",358,"1,430",,,,,,,,,,
Roy Campanella,0.283,"1,401",260,"1,017",34,,,,,,,,,
Mickey Mantle,0.298,"2,415",536,"1,509",,,,,,,,,,
Don Newcombe,,,,,,,153-96,3.54,"1,183",,,,,
Mickey Mantle,0.298,"2,415",536,"1,509",,,,,,,,,,
